id,model_provider,situation,context,generated_question,processing_time_seconds,timestamp,success
21,llama-api,I am depressed staying home due to COVID,"supporter: Sometimes it does just make it easier to know that other people are in the same situation as you :) | seeker: You mean share experiences among the friends? | supporter: Yes .. or at least share coping mechanisms perhaps? | supporter: Do you have any hobbies that you can occupy yourself with right now? | seeker: Yes, I pay musical instruments but do to COVID could not play with the band","How did it feel for you when you had to stop playing with the band due to COVID, and are there any ways you've been able to adapt or find alternative outlets for your music that might help you cope with the isolation?",14.99,2025-06-08T23:34:06.472065,True
22,llama-api,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.",,"How are you feeling right now, knowing that the life and future you thought you were building with your boyfriend was based on lies, and what's been the most challenging part for you to come to terms with in this situation?",2.33,2025-06-08T23:34:09.308469,True
23,llama-api,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","supporter: Hello, what is life like for you at the moment? | seeker: Infinitely complicated. | seeker: Too many decisions. I don't know what to do. | supporter: I am sorry to hear that but I am happy to listen and help you if I can","That must be incredibly painful and overwhelming for you. Can you tell me more about what's been going through your mind since you discovered the lies, and how you're feeling about the future you thought you were building with your boyfriend?",6.99,2025-06-08T23:34:16.800299,True
24,llama-api,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","seeker: My mind agrees. | seeker: My stupid emotions are clouding things. | supporter: Well, if you were to give him an ultimatum what do you think he would say? | seeker: I did. | seeker: LOL","It sounds like you're feeling a bit torn between what your mind is telling you and what your emotions are saying. You've already given him an ultimatum, and it seems like there's been a bit of a humorous response from him. I'm curious, how did you feel in that moment when he said something that made you laugh, despite the seriousness of the situation? Did it give you a glimpse into the complexity of your feelings towards him, or was it more of a coping mechanism for you?",8.8,2025-06-08T23:34:26.106424,True
25,llama-api,I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him., and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","supporter: I can tell that you feel that you are being cheated here. I can't tell you what to do but don't you think you deserve better? | seeker: I guess that's what I'm trying to figure out. Should I give him time to prove himself now that he's backed into a corner. | supporter: It's not for me to say but I wonder if he's really going to change as he has not already. | seeker: That's not an easy question to answer. He treats me very well. Always has. And he is frantically trying to accomodate me, now htat I know. | seeker: I agree with you. It's one of my fears.","How are you reconciling the fact that he has treated you well and is trying to accommodate you now, with the pain and mistrust you feel because of the lies he's been telling you, and what does that inner conflict feel like for you right now?",1.85,2025-06-08T23:34:28.456978,True
26,llama-api,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","seeker: I agree with you. It's one of my fears. | supporter: How do your children feel about this? And his? | seeker: MY children (6 and 9) have been living with him in their lives as a male figure who is growing into a father figure. He and I have been together for fifteen months, and part-time living together for six. | seeker: This isn't a new relationship. That's part of the complication, too. | seeker: His kids actually asked if they could come live with me while he and his (ex?) figured their shit out.","How are you feeling about the fact that your children have grown to trust and rely on him as a father figure, and now you're faced with the possibility of him not being a part of your lives in the same way, and what does that mean for your decision about whether to stay in the relationship?",16.78,2025-06-08T23:34:45.733674,True
27,llama-api,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","seeker: I would all but guarantee it. | supporter: It just worries me that he might treat you the same way if you were ever in the same position | seeker: Here's the other kicker, though... | seeker: She knows about me. | seeker: (I know. You're right. I thought that as well)","How are you feeling about the fact that his entire life was a lie, and what does it mean to you that the future you thought you were building together may not be possible, now that you're faced with this new reality?",1.37,2025-06-08T23:34:47.608043,True
28,llama-api,the uncertainty surrounding the corona virus pandemic. the unavailability of jobs. lack of success get jobs applied for. No ease or comfort of end being in sight,,"How have you been taking care of yourself and coping with the stress and uncertainty of the pandemic, particularly with the added pressure of job searching and not seeing the results you had hoped for?",15.51,2025-06-08T23:35:03.619566,True
29,llama-api,the uncertainty surrounding the corona virus pandemic. the unavailability of jobs. lack of success get jobs applied for. No ease or comfort of end being in sight,"supporter: Hi there, how are you doing? | seeker: could be better","It sounds like things have been really tough for you lately. I can sense a lot of uncertainty and frustration in your response. Can you tell me more about what's been on your mind and in your heart when you say you ""could be better"" - what are some of the things that are weighing on you the most right now?",2.33,2025-06-08T23:35:06.451461,True
30,llama-api,the uncertainty surrounding the corona virus pandemic. the unavailability of jobs. lack of success get jobs applied for. No ease or comfort of end being in sight,"supporter: So you're unemployed? I am sorry to hear that. Are you prepared to take jobs that are below your usual level just to get by for a while? | seeker: have tried that but don't even get an interview | supporter: It's a very difficult time to be out of work, I know. I hope that there is something out there for you. Have you tried employment agencies? | seeker: yes, I do not qualify for unemployment because I have savings above the min threshold and I also have rental property, which is currently loss making and I can't sell it because it's 30% below market value | supporter: Well, on the plus side at least you do have savings .. hopefully this can give you some security for a while","How are you coping with the emotional toll of this prolonged period of uncertainty and rejection, and what are some things that you're doing to take care of yourself during this challenging time?",9.22,2025-06-08T23:35:16.178074,True
31,llama-api,I am looking for more online jobs. but it is hard to find.,,"What's been the most frustrating or overwhelming part of your job search experience so far, and how have you been taking care of yourself throughout this process?",0.99,2025-06-08T23:35:17.670940,True
32,llama-api,I am looking for more online jobs. but it is hard to find.,"supporter: Hello, how are you feeling at the moment? | seeker: hi! I am good. you?","It sounds like you're feeling fairly positive at the moment, which is great. However, you've mentioned looking for more online jobs and finding it challenging. Can you tell me more about what's been the most frustrating part of your job search so far?",16.86,2025-06-08T23:35:35.036271,True
33,llama-api,I am looking for more online jobs. but it is hard to find.,"supporter: I have had to use foodbanks once or twice this year and I did feel a bit bad about it but everyone there was very kind and no-one judged us. | seeker: If i lose my main job I will use it | supporter: There is nothing to be ashamed of in doing so and when you get to a better position you can give back to them. | seeker: sorry about that, but that's good, people help each other | seeker: Absolutely! Volunteering is a great spirit.","It sounds like you're facing a challenging time with your job situation and are exploring online opportunities. I can sense the uncertainty and concern that comes with it. What are some of the emotions that come up for you when you think about using resources like foodbanks or struggling to find a new job, and how do you think you would cope if you were to lose your main job?",2.03,2025-06-08T23:35:37.575539,True
34,llama-api,General depression made worse by the severity of the pandemic.,seeker: Hey there | seeker: How are you?,"It sounds like you're reaching out for support, and I'm here to listen. Before we dive in, I want to acknowledge that it takes a lot of courage to seek help, especially during these challenging times. 

Considering the pandemic has been affecting many people's mental health, I'm wondering: How have you been taking care of yourself and coping with the stress of the pandemic so far?",8.31,2025-06-08T23:35:46.389946,True
35,llama-api,General depression made worse by the severity of the pandemic.,"seeker: Hey there | seeker: How are you? | supporter: I AM FINE | supporter: HOW IS YOUR SIDE ? | seeker: I am ok, I'm having a hard time dealing with the pandemic though.","It sounds like the pandemic has been really tough on you. Can you tell me more about what's been the most challenging part for you - is it the isolation, the uncertainty, or something else that's contributing to your feelings of depression?",1.23,2025-06-08T23:35:48.127003,True
36,llama-api,They are always demotivate my economic status. It hurts me a lot,seeker: I need some tips to overcome from that problem,"Can you help me understand what goes through your mind and how you feel about yourself when you're reminded of your economic status, and how do you think it affects your daily life and motivations?",14.13,2025-06-08T23:36:02.761559,True
37,llama-api,They are always demotivate my economic status. It hurts me a lot,seeker: I need some tips to overcome from that problem | supporter: Hey. How can I help? | seeker: Give me some tips to get succeed in my life,"Can you help me understand what specifically happens when someone demotivates you about your economic status, and how does that make you feel emotionally?",1.01,2025-06-08T23:36:04.279409,True
38,llama-api,They are always demotivate my economic status. It hurts me a lot,seeker: Give me some tips to get succeed in my life | supporter: Okay. Well lets start with exactly what the problem is. What kind of tips do you need? | seeker: I was totally upset due to my financial career | supporter: Okay I understand. Tell me a little about that. | seeker: I had a lot of debts,"How do you think your debts and current financial situation are affecting your self-esteem and overall sense of well-being, and what emotions arise when you think about your economic status?",13.19,2025-06-08T23:36:17.991354,True
39,llama-api,They are always demotivate my economic status. It hurts me a lot,seeker: I had a lot of debts | supporter: That is unfortunate. How did you accumulate such debt? | seeker: Because of this covid situation | supporter: That's tough. It has personally affect me as well as my financial health as well. I know the frustration. | seeker: So please tell me some advice,"It sounds like the COVID situation has had a significant impact on your financial well-being, and it's understandable that you're feeling demotivated about your economic status. Before we explore ways to move forward, can you tell me more about what specifically hurts the most for you when you think about your current financial situation - is it the feeling of being overwhelmed, the worry about the future, or something else?",2.23,2025-06-08T23:36:20.727015,True
40,llama-api,They are always demotivate my economic status. It hurts me a lot,supporter: That is unfortunate. How did you accumulate such debt? | seeker: Because of this covid situation | supporter: That's tough. It has personally affect me as well as my financial health as well. I know the frustration. | seeker: So please tell me some advice | supporter: Well to do so I need a little more information. Have you already taken any steps to help your situation?,"How are you taking care of yourself emotionally during this challenging time, and what do you think would give you a sense of hope or motivation to improve your economic situation?",8.58,2025-06-08T23:36:29.818686,True
41,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.",supporter: Good afternoon | seeker: Hello.,"That can be a really tough and painful experience, especially during the holiday season. Can you tell me more about what's been going through your mind and heart since your girlfriend left, and how you've been taking care of yourself during this difficult time?",1.86,2025-06-08T23:36:32.186032,True
42,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.",supporter: Good afternoon | seeker: Hello. | supporter: How r u | seeker: Not doing too well.,"That can be really tough, especially with the holidays being a time when many people come together with loved ones. Can you tell me more about what's been going through your mind since your girlfriend left, and how you've been taking care of yourself during this difficult time?",16.15,2025-06-08T23:36:48.841102,True
43,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.",supporter: How r u | seeker: Not doing too well. | supporter: What is your day like | seeker: Bleak and depressing. How is yours going? | supporter: What seems to be the issue,"It sounds like the holiday season, which is often a time of joy and connection for many people, has been particularly tough for you this year. Can you help me understand what happened with your girlfriend that led to her leaving, and how are you taking care of yourself during this difficult time?",2.46,2025-06-08T23:36:51.806164,True
44,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.",supporter: What is your day like | seeker: Bleak and depressing. How is yours going? | supporter: What seems to be the issue | supporter: What is making you feel this way | seeker: My girlfriend left me and I am all alone.,"How are you taking care of yourself during this difficult time, and what are some of the emotions that come up for you when you think about your girlfriend leaving you, especially with the holidays being a time that's often associated with togetherness and celebration?",10.2,2025-06-08T23:37:02.505542,True
45,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.","supporter: I can assume that the relationship was for awhile | seeker: We were together for six and a half years. | supporter: Breakups are hard especially when you have been together for awhile | seeker: Yes, and I think I will miss the pegging the most. No one can do it better or harder than her. | supporter: That was along time. 6 years. WAs the breakup sudden or had it gradually happened over time","It sounds like the breakup has been really tough for you, especially with it happening right before Christmas. You mentioned that you're going to miss the physical aspect of your relationship, but I'm also wondering, what are some of the emotional feelings that are coming up for you now that you're apart from your girlfriend, and how are you taking care of yourself during this difficult time?",3.48,2025-06-08T23:37:06.495579,True
46,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.","supporter: That was along time. 6 years. WAs the breakup sudden or had it gradually happened over time | supporter: What may I ask is pegging | seeker: It was probably gradual, but it seemed like all of a sudden at the end. | supporter: had there been any disagreements | seeker: Pegging is when she puts on a strap on and pleasures me from behind. It is definitely a niche fetish.","It sounds like the breakup was a really difficult experience for you, especially with it happening right before Christmas. I can sense that you're still processing your emotions about the end of the relationship. 

Can you help me understand what's been the most challenging part for you since the breakup - is it the loss of the relationship itself, the timing of it, or something specific that's been weighing on your mind?",8.04,2025-06-08T23:37:15.039305,True
47,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.","seeker: Pegging is when she puts on a strap on and pleasures me from behind. It is definitely a niche fetish. | supporter: R u a female | seeker: The biggest disagreement was that she wanted to start pegging other guys, and I told her no way, we did not agree to that arrangement. | seeker: No I am a male. But please don't judge me, I am very fragile right now. | supporter: i am not judging you in anyway. Helps me better understand","How are you feeling about the fact that your disagreement over pegging and boundaries in your relationship ultimately led to your girlfriend leaving you, especially during a time of year that's often associated with togetherness and celebration, like Christmas?",0.97,2025-06-08T23:37:16.517850,True
48,llama-api,"I really blew it with my girlfriend, so she left me right before Christmas.","supporter: WAs there another person involved with the relationship or just you both | seeker: I really miss her a lot, I would let her peg those other guys if she wanted to, I just need to get her back in my life. I told her I would give her as many rimjobs that she requested. | seeker: There were other women and men that she would bring home for us to have threesomes with. It made me feel like she was in power. | supporter: sounds like you both had a solid relationship | seeker: Very solid like a rock. I feel like you are mocking me now. Are you a man or woman?","It sounds like you're feeling a deep sense of loss and longing for your girlfriend, and you're willing to do whatever it takes to get her back. I want to understand more about what's driving your feelings. Can you help me understand what you mean by ""she was in power"" in your relationship, and how that dynamic affected you and your emotions towards her?",16.3,2025-06-08T23:37:33.320751,True
49,llama-api,MY life has been completely upheaved by a cheating spouse who abandoned me and our children,supporter: hi | seeker: Hey | seeker: You there?,"I'm so glad you're here and willing to talk. It takes a lot of courage to reach out, especially during a difficult time. Can you tell me what's been the most overwhelming or painful part of this experience for you, and how have you been taking care of yourself since everything happened?",1.86,2025-06-08T23:37:35.684328,True
50,llama-api,Trying to find a job,,"What's been going through your mind lately as you've been searching for a job, and how have you been taking care of yourself during this potentially stressful time?",15.12,2025-06-08T23:37:51.309674,True
51,llama-api,Trying to find a job,supporter: What canI do to help? | seeker: Hi! I am trying to find a new job for long time. There is no success in it | supporter: I feel bad for you. | supporter: There are many openings for Uber and Uber Eats.,"How are you feeling about the job search process so far, and what do you think might be getting in the way of finding a job that's a good fit for you?",0.58,2025-06-08T23:37:52.399122,True
52,llama-api,Trying to find a job,seeker: Hi! I am trying to find a new job for long time. There is no success in it | supporter: I feel bad for you. | supporter: There are many openings for Uber and Uber Eats. | supporter: What were you doing before you were looking for a job? Were you in college? | seeker: I am not a good driver,"It sounds like the Uber and Uber Eats suggestion might not be a good fit for you, given your concerns about driving. Can you tell me more about what you're looking for in a job, and what kinds of roles or industries you're interested in exploring that might be a better match for your skills and preferences?",17.89,2025-06-08T23:38:10.791761,True
53,llama-api,Trying to find a job,seeker: I am not a good driver | supporter: What do you find are your top skill sets? | seeker: I was working in an IT company as a program analyst | supporter: That is good that you have a good skill set that allows you to find something in the same field of IT. | seeker: I am really having hard time to get one,"What's been the most frustrating or discouraging part of your job search experience so far, and how have you been taking care of yourself during this challenging time?",1.92,2025-06-08T23:38:13.216084,True
54,llama-api,Trying to find a job,supporter: What do you find are your top skill sets? | seeker: I was working in an IT company as a program analyst | supporter: That is good that you have a good skill set that allows you to find something in the same field of IT. | seeker: I am really having hard time to get one | supporter: How so? What is the specific difficulty? Is it with your resume?,"What emotions come up for you when you think about not being able to find a job in the IT field despite having relevant experience as a program analyst, and how are you taking care of yourself during this challenging time?",5.65,2025-06-08T23:38:19.376914,True
55,llama-api,Trying to find a job,supporter: That is good that you have a good skill set that allows you to find something in the same field of IT. | seeker: I am really having hard time to get one | supporter: How so? What is the specific difficulty? Is it with your resume? | supporter: Are you feeling nervous? Anxious? | seeker: The reason is recession or might be COVID.,"How are you taking care of yourself during this challenging and uncertain time, and what kinds of things have you found help you cope with the stress and frustration of job hunting amidst the recession and COVID pandemic?",9.63,2025-06-08T23:38:29.512976,True
56,llama-api,Trying to find a job,supporter: How so? What is the specific difficulty? Is it with your resume? | supporter: Are you feeling nervous? Anxious? | seeker: The reason is recession or might be COVID. | supporter: Any other questions or concerns that you may have for me? | seeker: I am stressed,"How are you taking care of yourself during this stressful time, and what kinds of things have you found help you cope with the uncertainty of finding a job amidst the recession and COVID challenges?",1.03,2025-06-08T23:38:31.052672,True
57,llama-api,Trying to find a job,"seeker: I am stressed | supporter: Well, how do you adapt to the work issue? Do you like dogs? There are opportunities for dog walkers. | supporter: I made good money in the past walking my neighbors and friends dogs. | seeker: I don't have any pet so no experience with it | supporter: When I get stressed, I try to do vigorous exercises with pushups, chin ups, sit ups or walking fast.","It sounds like you're feeling really overwhelmed with your job search right now. I want to make sure I understand what's going on for you. Can you tell me more about what's been the most stressful part of looking for a job for you, and how you've been taking care of yourself during this time?",15.14,2025-06-08T23:38:46.699539,True
58,llama-api,Trying to find a job,"supporter: Losing a job? It never happened for you before? | seeker: There are recreational parks, and trails near by | supporter: I would join a support group for those people who need support and want to change careers. | supporter: There are support groups online to help with job loss who can advise you on where to use your interests and skills to have a more fulfilling life. | seeker: I love my career just getting bit demotivated","What is it about your career that you love, and how do you think you can reconnect with that passion and motivation to help you move forward in your job search?",2.08,2025-06-08T23:38:49.280739,True
59,llama-api,Not sure how to explain that I want out of marriage,seeker: Hi,"What's been going on that's making you feel like you want to end your marriage, and how have you been feeling about this situation lately?",6.56,2025-06-08T23:38:56.343510,True
60,llama-api,Not sure how to explain that I want out of marriage,"seeker: I do not know how to tell my husband that I am lonely and I want out of the marriage | supporter: Oh, that sure is a heavy subject and a heavy thing to be on your mind. | seeker: He is not one you can talk to he usually just brushes things off | supporter: So you have tried to discuss your loneliness with your husband before? | seeker: Yes he tells me it’s just in my head and I could just go out with him, but he drinks then to much so I do not like going out with him","How do you think your husband's response to your feelings, telling you it's just in your head, has affected your sense of being heard and understood in the marriage, and what emotions does that bring up for you?",13.76,2025-06-08T23:39:10.617817,True
61,llama-api,Not sure how to explain that I want out of marriage,"supporter: So you have tried to discuss your loneliness with your husband before? | seeker: Yes he tells me it’s just in my head and I could just go out with him, but he drinks then to much so I do not like going out with him | supporter: I am sure that is frustrating! Does he drink at home as well or just when you go out? | seeker: Just when he goes out I do not go with him I do not drink and drive | seeker: And he hangs with some obnoxious people","How do you think your husband's behavior, particularly his drinking and choice of social circle, has affected your feelings about the marriage and your desire to potentially end it?",15.89,2025-06-08T23:39:27.010978,True
62,llama-api,"Not having enough friends nearby.  My three nearby friends went away for holidays, so I have no one to spend time with over this weekend.",,"How are you feeling about being alone this weekend, now that your friends have gone away on holiday?",7.92,2025-06-08T23:39:35.433856,True
63,llama-api,"Not having enough friends nearby.  My three nearby friends went away for holidays, so I have no one to spend time with over this weekend.","supporter: Hello how are you? | seeker: I'm, okay, thanks, and you? I'm feeling a bit down because I'm alone for the holidays.","That can be really tough, feeling alone during the holidays. Can you tell me more about what's been the hardest part for you about your friends being away, and how you've been taking care of yourself while feeling down?",2.92,2025-06-08T23:39:38.857001,True
64,llama-api,"Not having enough friends nearby.  My three nearby friends went away for holidays, so I have no one to spend time with over this weekend.","supporter: Hello how are you? | seeker: I'm, okay, thanks, and you? I'm feeling a bit down because I'm alone for the holidays. | supporter: Well that's no good, does your family live far away? | seeker: Yes, my family is scattered all over the country, like Seattle, Georgia, PA. I'm sure I'm not the only one with no plans this weekend, though. | supporter: True but I can understand that, it is hard being alone at the holidays.","What's been the most challenging part for you about being alone this weekend, is it the lack of social connection, the feeling of being left out, or something else that's been on your mind?",9.01,2025-06-08T23:39:48.370561,True
